case_id,method,mode,true_positives,false_positives,false_negatives,precision,recall,readiness_correct,invented_fact_count,citation_accuracy,latency_ms,notes
EVAL-01,agent,live,0,0,0,1.0,1.0,True,0,,2347,
EVAL-02,agent,live,1,0,0,1.0,1.0,True,0,1.0,1894,
EVAL-03,agent,live,1,0,0,1.0,1.0,True,0,1.0,2750,
EVAL-04,agent,live,1,0,0,1.0,1.0,True,0,1.0,1776,
EVAL-05,agent,live,1,0,0,1.0,1.0,True,0,1.0,2958,
EVAL-06,agent,live,1,0,0,1.0,1.0,True,0,1.0,1408,
EVAL-07,agent,live,1,0,0,1.0,1.0,True,0,1.0,1453,
EVAL-08,agent,live,1,0,0,1.0,1.0,True,0,1.0,1726,
EVAL-09,agent,live,1,0,0,1.0,1.0,True,0,1.0,1742,
EVAL-10,agent,live,1,0,0,1.0,1.0,True,0,1.0,4834,
EVAL-11,agent,live,1,0,0,1.0,1.0,True,0,1.0,2831,
EVAL-12,agent,live,3,0,0,1.0,1.0,True,0,1.0,2407,
