case_id,method,mode,true_positives,false_positives,false_negatives,precision,recall,readiness_correct,invented_fact_count,citation_accuracy,latency_ms,notes
EVAL-01,baseline,live,0,0,0,1.0,1.0,True,0,,5789,
EVAL-02,baseline,live,0,0,1,,0.0,False,0,,5174,
EVAL-03,baseline,live,0,1,1,0.0,0.0,True,0,,2372,
EVAL-04,baseline,live,0,0,1,,0.0,False,0,,6983,
EVAL-05,baseline,live,0,2,1,0.0,0.0,True,0,,2654,
EVAL-06,baseline,live,0,0,1,,0.0,False,0,,7707,
EVAL-07,baseline,live,0,0,1,,0.0,False,0,,2879,
EVAL-08,baseline,live,0,0,1,,0.0,False,0,,5629,
EVAL-09,baseline,live,0,0,1,,0.0,False,0,,6917,
EVAL-10,baseline,live,0,1,1,0.0,0.0,True,0,,1889,
EVAL-11,baseline,live,0,0,1,,0.0,False,0,,6616,
EVAL-12,baseline,live,0,1,3,0.0,0.0,True,0,,3012,
