case_id,method,mode,true_positives,false_positives,false_negatives,precision,recall,readiness_correct,invented_fact_count,citation_accuracy,latency_ms,notes
EVAL-01,agent,mock,0,0,0,1.0,1.0,True,0,,47,
EVAL-02,agent,mock,1,0,0,1.0,1.0,True,0,1.0,44,
EVAL-03,agent,mock,1,0,0,1.0,1.0,True,0,1.0,54,
EVAL-04,agent,mock,1,0,0,1.0,1.0,True,0,1.0,41,
EVAL-05,agent,mock,1,0,0,1.0,1.0,True,0,1.0,43,
EVAL-06,agent,mock,1,0,0,1.0,1.0,True,0,1.0,46,
EVAL-07,agent,mock,1,0,0,1.0,1.0,True,0,1.0,48,
EVAL-08,agent,mock,1,0,0,1.0,1.0,True,0,1.0,42,
EVAL-09,agent,mock,1,0,0,1.0,1.0,True,0,1.0,45,
EVAL-10,agent,mock,1,0,0,1.0,1.0,True,0,1.0,38,
EVAL-11,agent,mock,1,0,0,1.0,1.0,True,0,1.0,43,
EVAL-12,agent,mock,3,0,0,1.0,1.0,True,0,1.0,49,
